Contiguous U.S., Average Temperature, February-January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,52.40,0.38
195101,51.37,-0.65
195201,51.27,-0.75
195301,52.64,0.62
195401,52.90,0.88
195501,53.20,1.18
195601,51.83,-0.19
195701,52.01,-0.01
195801,52.42,0.40
195901,51.76,-0.26
196001,52.10,0.08
196101,51.46,-0.56
196201,51.64,-0.38
196301,51.69,-0.33
196401,52.85,0.83
196501,51.70,-0.32
196601,51.23,-0.79
196701,52.05,0.03
196801,51.41,-0.61
196901,51.36,-0.66
197001,51.32,-0.70
197101,51.80,-0.22
197201,51.70,-0.32
197301,51.34,-0.68
197401,52.41,0.39
197501,52.38,0.36
197601,51.30,-0.72
197701,50.90,-1.12
197801,52.78,0.76
197901,50.72,-1.30
198001,51.65,-0.37
198101,52.50,0.48
198201,52.61,0.59
198301,51.92,-0.10
198401,51.52,-0.50
198501,51.76,-0.26
198601,52.00,-0.02
198701,53.05,1.03
198801,53.03,1.01
198901,53.16,1.14
199001,52.04,0.02
199101,52.93,0.91
199201,53.50,1.48
199301,52.34,0.32
199401,51.17,-0.85
199501,53.18,1.16
199601,52.37,0.35
199701,51.91,-0.11
199801,52.62,0.60
199901,54.13,2.11
200001,53.86,1.84
200101,53.08,1.06
200201,53.96,1.94
200301,53.07,1.05
200401,53.05,1.03
200501,53.35,1.33
200601,54.10,2.08
200701,53.62,1.60
200801,53.56,1.54
200901,52.36,0.34
201001,52.36,0.34
201101,52.90,0.88
201201,53.72,1.70
201301,54.96,2.94
201401,52.29,0.27
201501,52.75,0.73
201601,54.33,2.31
201701,55.03,3.01
201801,54.43,2.41
201901,53.55,1.53
